employee_id,employee_name,department,regular_hours,overtime_hours,hourly_rate,deduction_rate,prior_net_pay,regular_pay,overtime_pay,gross_pay,deductions,net_pay,dollar_variance,percent_variance,variance_flag
1001,Alice Johnson,Finance,80,0,30.0,0.2,1920.0,2400.0,0.0,2400.0,480.0,1920.0,0.0,0.0,False
1002,Brian Smith,Operations,80,5,28.5,0.22,1850.4,2280.0,213.75,2493.75,548.62,1945.12,94.72,5.12,False
1003,Carla Mendez,Risk,80,10,32.0,0.21,2150.0,2560.0,480.0,3040.0,638.4,2401.6,251.6,11.7,True
1004,David Lee,Underwriting,80,0,26.0,0.18,1705.6,2080.0,0.0,2080.0,374.4,1705.6,0.0,0.0,False
1005,Emily Carter,Finance,72,0,30.0,0.2,1900.0,2160.0,0.0,2160.0,432.0,1728.0,-172.0,-9.05,False
1006,Frank Nguyen,Operations,80,20,25.0,0.22,2400.0,2000.0,750.0,2750.0,605.0,2145.0,-255.0,-10.62,True
1007,Grace Patel,Credit,80,0,34.0,0.19,2203.2,2720.0,0.0,2720.0,516.8,2203.2,0.0,0.0,False
1008,Henry Adams,Risk,80,0,29.0,0.2,1856.0,2320.0,0.0,2320.0,464.0,1856.0,0.0,0.0,False
1009,Isabel Cruz,Underwriting,40,0,27.0,0.18,1771.2,1080.0,0.0,1080.0,194.4,885.6,-885.6,-50.0,True
1010,Jacob Brown,Credit,80,8,31.0,0.21,2050.0,2480.0,372.0,2852.0,598.92,2253.08,203.08,9.91,False
1011,Karen White,Finance,80,0,33.0,0.2,2112.0,2640.0,0.0,2640.0,528.0,2112.0,0.0,0.0,False
1012,Liam Garcia,Operations,80,0,28.0,0.22,1500.0,2240.0,0.0,2240.0,492.8,1747.2,247.2,16.48,True
